Day,Max pm2.5atm
2026-01-07,200.0
2026-01-08,200.0
2026-01-09,200.0
2026-01-10,200.0
2026-01-11,200.0
2026-01-12,200.0
2026-01-13,200.0
2026-01-14,200.0
2026-01-15,200.0
2026-01-16,199.0
2026-01-17,200.0
2026-01-18,200.0
2026-01-19,200.0
2026-01-20,200.0
2026-01-21,200.0
2026-01-22,200.0
2026-01-23,200.0
2026-01-24,200.0
2026-01-25,198.0
2026-01-26,185.0
2026-01-27,161.0
2026-01-28,200.0
2026-01-29,200.0
2026-01-30,197.0
2026-01-31,200.0
2026-02-01,200.0
2026-02-02,200.0
2026-02-04,174.0
2026-02-08,180.0
